real,user,sys
106.873,103.226,3.148
106.614,103.582,2.696
104.789,101.994,2.488
106.188,103.210,2.624
105.095,102.202,2.560
106.676,103.678,2.660
104.795,101.862,2.624
104.826,102.738,1.864
105.531,102.610,2.600
104.858,102.070,2.468
105.355,102.430,2.580
105.608,102.682,2.568
105.264,102.158,2.772
106.066,102.422,3.204
105.233,102.390,2.524
104.736,102.526,1.988
105.673,102.074,3.164
105.579,102.006,3.168
105.355,102.454,2.540
105.445,102.406,2.704
105.617,102.742,2.504
104.843,102.062,2.472
105.503,102.678,2.492
104.761,102.234,2.292
105.253,102.398,2.572
105.397,102.546,2.528
105.586,102.742,2.532
104.546,101.682,2.520
105.376,102.486,2.568
104.790,101.974,2.472
104.760,101.998,2.396
105.122,102.502,2.328
104.581,102.154,2.140
106.328,103.430,2.556
106.229,103.170,2.748
106.145,103.250,2.508
106.198,103.062,2.784
107.376,104.535,2.500
106.505,103.790,2.316
105.763,103.186,2.284
105.258,102.802,2.200
105.555,102.638,2.596
106.214,103.458,2.424
105.774,102.894,2.532
104.850,101.814,2.660
104.726,101.842,2.528
105.524,102.770,2.392
105.442,102.494,2.616
104.754,102.574,1.956
105.051,102.074,2.644
105.804,102.750,2.744
104.853,101.990,2.520
105.342,102.254,2.732
105.924,102.978,2.588
105.154,102.122,2.656
105.574,101.886,3.248
106.449,103.122,2.884
104.291,101.974,2.056
107.174,103.634,3.104
105.715,102.894,2.464
105.017,101.950,2.756
106.365,102.590,3.332
105.365,102.482,2.552
105.458,102.614,2.508
105.113,102.042,2.744
105.456,103.290,1.940
104.831,101.842,2.660
105.655,102.650,2.660
105.191,101.990,2.812
105.255,102.126,2.796
105.257,102.222,2.716
108.755,105.183,3.056
105.235,102.270,2.620
105.030,102.866,1.940
105.849,102.986,2.516
104.908,102.070,2.508
105.983,103.154,2.492
105.037,102.194,2.500
107.002,104.263,2.428
105.127,102.126,2.656
105.514,102.630,2.552
104.434,101.842,2.324
104.531,101.822,2.424
107.923,103.778,3.568
107.057,102.922,3.576
107.372,103.330,3.432
107.050,103.746,2.836
106.345,103.666,2.364
106.121,103.270,2.488
106.041,102.526,3.012
107.306,104.039,2.844
104.485,101.966,2.260
107.795,104.215,3.064
107.769,104.195,3.116
105.816,102.230,3.040
106.597,102.590,3.440
106.249,102.202,3.520
105.958,102.334,3.208
105.892,102.262,3.104
105.531,102.738,2.384
