real,user,sys
66.513,65.928,0.384
71.286,70.464,0.528
82.299,82.117,0.008
56.644,55.831,0.572
60.696,60.564,0.004
42.469,41.723,0.568
52.272,52.159,0.000
80.265,79.409,0.580
60.137,60.004,0.004
60.562,59.744,0.580
68.440,68.288,0.008
66.344,65.508,0.572
86.790,85.909,0.616
54.431,54.311,0.004
71.485,70.640,0.564
44.541,44.439,0.008
47.204,47.099,0.004
54.573,53.731,0.576
45.872,45.767,0.008
63.454,62.644,0.568
49.419,49.303,0.012
52.971,52.219,0.492
52.440,52.315,0.012
56.302,55.463,0.612
75.392,75.233,0.000
64.972,64.164,0.572
48.885,48.771,0.008
66.646,65.804,0.628
71.033,70.880,0.004
55.267,54.519,0.464
42.849,42.759,0.000
83.665,82.785,0.584
55.116,54.995,0.004
82.716,81.761,0.660
43.949,43.851,0.004
50.305,49.487,0.556
58.127,58.004,0.000
43.482,42.667,0.652
45.714,45.607,0.008
91.819,90.966,0.532
72.316,72.157,0.008
47.032,46.255,0.580
54.732,53.975,0.448
48.319,47.499,0.596
85.208,85.029,0.000
66.707,65.860,0.572
56.246,56.128,0.000
55.147,54.359,0.524
43.729,43.635,0.000
56.003,55.199,0.588
46.554,46.455,0.000
49.542,49.431,0.004
60.573,59.684,0.584
69.740,69.392,0.188
65.135,64.472,0.416
61.788,60.920,0.652
64.388,64.248,0.004
59.342,58.564,0.536
56.682,56.564,0.000
52.412,52.127,0.108
64.387,63.708,0.456
67.259,66.436,0.572
62.088,61.952,0.004
45.348,45.227,0.024
70.238,69.472,0.532
43.766,43.667,0.008
45.771,44.983,0.564
74.697,74.537,0.004
82.217,81.369,0.548
57.314,56.544,0.516
46.903,46.803,0.000
65.107,64.356,0.484
58.569,58.400,0.020
50.501,50.391,0.004
46.700,45.535,0.908
55.956,55.823,0.012
42.631,41.863,0.520
62.647,62.516,0.000
65.697,64.852,0.608
76.536,76.373,0.000
42.500,41.763,0.556
70.769,70.616,0.004
54.795,54.015,0.520
57.398,57.276,0.000
55.446,54.643,0.556
60.119,59.988,0.004
49.963,49.175,0.536
57.969,57.848,0.000
61.766,60.956,0.580
56.584,56.456,0.008
65.371,64.600,0.488
36.409,36.322,0.008
51.220,51.107,0.004
46.585,45.799,0.580
72.877,72.725,0.000
67.832,67.020,0.480
66.516,66.372,0.004
57.018,56.224,0.580
38.765,38.678,0.004
52.395,51.583,0.568
