real,user,sys
5.629,5.616,0.000
5.268,5.248,0.004
5.357,5.340,0.004
5.301,5.284,0.004
5.287,5.268,0.004
5.351,5.336,0.000
5.284,5.272,0.000
5.302,5.284,0.004
5.299,5.276,0.008
5.282,5.260,0.008
5.839,5.300,0.428
5.416,5.244,0.120
5.269,5.252,0.004
5.385,5.372,0.000
5.282,5.268,0.000
5.270,5.256,0.000
5.388,5.368,0.004
5.312,5.292,0.004
5.255,5.232,0.008
5.304,5.288,0.000
5.275,5.260,0.000
5.291,5.272,0.004
5.368,5.352,0.004
5.270,5.256,0.000
5.288,5.276,0.000
5.290,5.276,0.000
5.373,5.356,0.004
5.293,5.280,0.000
5.367,5.348,0.004
5.287,5.268,0.004
5.313,5.296,0.004
5.297,5.284,0.000
5.626,5.368,0.172
5.711,5.304,0.332
5.668,5.644,0.008
5.392,5.376,0.004
5.302,5.284,0.004
5.318,5.300,0.004
5.367,5.352,0.000
5.328,5.312,0.004
5.289,5.276,0.000
5.368,5.352,0.000
5.288,5.272,0.004
5.314,5.296,0.004
5.394,5.376,0.004
5.283,5.256,0.012
5.276,5.256,0.004
5.357,5.340,0.004
5.328,5.312,0.004
5.336,5.320,0.004
5.373,5.360,0.000
5.317,5.296,0.008
5.275,5.252,0.008
5.377,5.360,0.004
5.410,5.320,0.032
5.890,5.328,0.436
5.319,5.252,0.040
5.371,5.352,0.004
5.289,5.268,0.008
5.342,5.320,0.008
5.371,5.356,0.000
5.360,5.340,0.004
5.296,5.272,0.008
5.281,5.268,0.000
5.299,5.276,0.008
5.343,5.324,0.004
5.382,5.364,0.004
5.274,5.260,0.000
5.267,5.248,0.004
5.311,5.296,0.000
5.301,5.288,0.000
5.337,5.320,0.004
5.286,5.272,0.000
5.275,5.256,0.004
5.298,5.284,0.000
5.298,5.280,0.004
5.358,5.344,0.000
5.773,5.344,0.352
5.573,5.308,0.212
5.278,5.264,0.000
5.389,5.372,0.004
5.266,5.244,0.008
5.271,5.256,0.000
5.354,5.336,0.004
5.290,5.272,0.004
5.318,5.304,0.000
5.384,5.368,0.004
5.308,5.292,0.004
5.290,5.276,0.000
5.388,5.368,0.004
5.302,5.288,0.000
5.331,5.312,0.004
5.685,5.668,0.000
5.270,5.252,0.004
5.393,5.376,0.004
5.360,5.344,0.000
5.271,5.252,0.004
5.373,5.356,0.004
5.280,5.264,0.004
5.546,5.328,0.180
