real,user,sys
13.137,12.313,0.660
13.148,12.361,0.592
12.263,12.229,0.008
12.578,12.549,0.000
12.287,12.253,0.008
12.369,12.337,0.004
12.368,12.337,0.004
12.264,12.237,0.000
12.542,12.513,0.000
12.634,12.345,0.224
12.792,12.289,0.392
12.323,12.289,0.004
12.330,12.297,0.004
12.639,12.285,0.276
12.882,12.325,0.384
12.456,12.321,0.056
12.537,12.489,0.012
12.326,12.297,0.000
12.306,12.277,0.000
13.339,12.473,0.656
12.886,12.337,0.448
12.263,12.233,0.004
12.504,12.457,0.008
12.385,12.349,0.008
12.336,12.301,0.008
12.346,12.317,0.000
12.595,12.553,0.004
12.620,12.585,0.008
13.190,12.321,0.660
12.958,12.417,0.396
12.346,12.313,0.004
12.268,12.237,0.004
12.518,12.489,0.000
12.300,12.261,0.012
12.475,12.445,0.000
12.440,12.409,0.004
12.282,12.249,0.004
12.505,12.473,0.004
12.832,12.253,0.444
12.480,12.377,0.076
12.337,12.305,0.004
12.308,12.281,0.000
12.484,12.449,0.008
12.332,12.297,0.008
12.733,12.697,0.008
12.306,12.265,0.012
12.308,12.281,0.000
12.510,12.473,0.008
12.963,12.357,0.480
12.410,12.377,0.004
12.721,12.361,0.284
12.620,12.241,0.268
12.492,12.461,0.004
12.481,12.453,0.000
12.436,12.409,0.000
12.322,12.289,0.004
12.256,12.221,0.008
13.299,12.357,0.780
12.597,12.273,0.224
12.553,12.521,0.004
12.277,12.245,0.004
12.315,12.281,0.004
12.330,12.301,0.000
12.468,12.441,0.000
12.311,12.285,0.000
12.752,12.317,0.344
12.503,12.285,0.176
12.960,12.269,0.564
12.281,12.249,0.004
12.631,12.601,0.000
12.355,12.321,0.004
12.334,12.301,0.004
12.287,12.249,0.008
12.344,12.309,0.008
12.304,12.273,0.004
12.381,12.353,0.000
12.292,12.261,0.004
13.080,12.385,0.540
12.390,12.353,0.008
12.327,12.293,0.004
12.321,12.285,0.008
12.977,12.273,0.556
12.325,12.265,0.032
12.293,12.265,0.000
12.501,12.465,0.008
12.302,12.265,0.008
12.845,12.273,0.448
13.111,12.333,0.604
12.336,12.281,0.028
12.282,12.241,0.012
12.303,12.265,0.008
12.311,12.281,0.000
12.484,12.445,0.008
13.002,12.285,0.580
12.446,12.385,0.028
12.310,12.277,0.004
13.601,12.353,0.956
12.431,12.257,0.120
12.310,12.273,0.008
13.017,12.321,0.592
