real,user,sys
45.595,44.795,0.568
52.958,51.535,0.984
52.880,52.683,0.068
54.235,52.695,1.180
50.116,49.295,0.588
42.558,42.459,0.004
45.547,43.835,1.396
73.102,72.213,0.588
31.826,30.498,1.040
46.366,46.175,0.076
69.147,67.560,1.180
56.686,55.823,0.616
37.922,37.202,0.500
51.587,50.767,0.552
64.990,64.120,0.564
64.899,63.372,1.204
44.119,43.383,0.492
32.918,32.090,0.656
47.445,46.675,0.524
66.494,65.000,1.068
44.021,43.591,0.296
40.035,39.522,0.352
70.993,69.416,1.100
32.470,31.734,0.556
50.097,49.347,0.552
56.467,55.483,0.708
48.432,47.687,0.508
83.903,82.321,1.136
48.727,47.591,0.920
61.756,60.568,0.904
41.958,41.743,0.108
82.701,81.053,1.248
47.151,46.311,0.640
42.462,40.931,1.256
49.172,49.039,0.024
56.129,54.559,1.216
74.470,73.609,0.588
47.215,45.511,1.316
55.876,55.083,0.560
60.095,59.004,0.780
62.645,62.088,0.348
55.250,53.699,1.212
70.750,69.888,0.596
48.878,47.331,1.188
36.276,36.190,0.004
61.387,60.608,0.500
63.541,61.968,1.216
33.076,32.282,0.612
58.215,57.360,0.628
81.009,79.885,0.776
59.754,58.452,0.988
55.133,54.255,0.616
60.266,58.792,1.040
46.472,46.267,0.076
56.644,55.079,1.200
58.770,57.880,0.644
58.292,56.808,1.072
49.498,49.331,0.048
56.070,54.551,1.172
65.342,64.480,0.600
89.829,88.314,1.068
41.422,41.307,0.024
55.377,53.907,1.108
38.440,38.346,0.008
47.086,46.247,0.600
73.229,71.624,1.236
55.034,54.227,0.576
49.197,48.107,0.848
42.115,41.483,0.468
56.653,54.815,1.428
75.347,74.449,0.616
39.231,37.982,0.980
57.746,57.416,0.168
64.853,63.232,1.272
45.637,44.791,0.632
44.958,44.139,0.628
74.055,72.409,1.244
39.659,39.562,0.004
55.525,53.991,1.148
74.730,73.737,0.676
51.678,50.143,1.220
49.074,48.635,0.284
45.823,44.611,0.932
44.764,43.959,0.572
53.347,52.531,0.540
49.310,48.239,0.732
64.907,64.036,0.644
53.090,51.647,1.052
36.669,36.458,0.120
48.730,47.351,1.080
57.544,56.692,0.552
48.211,47.123,0.804
32.859,32.342,0.368
30.128,29.366,0.612
53.213,53.063,0.016
60.615,59.088,1.176
41.487,40.679,0.620
73.097,71.432,1.288
41.989,41.883,0.008
75.408,73.469,1.492
