real,user,sys
29.639,29.914,0.612
30.816,31.670,0.032
33.047,34.122,0.060
35.090,35.846,0.348
32.402,33.046,0.344
33.242,34.430,0.044
16.062,16.773,0.036
48.171,48.219,0.656
25.267,26.326,0.044
15.955,16.589,0.052
38.606,39.242,0.036
8.686,9.217,0.024
45.101,45.491,0.668
38.553,39.362,0.052
19.984,20.641,0.024
53.092,53.735,0.580
10.113,10.857,0.040
33.288,34.654,0.048
39.688,40.399,0.044
56.863,57.896,0.544
46.154,46.847,0.184
29.567,30.314,0.016
25.343,25.358,0.652
29.786,30.650,0.064
33.579,34.950,0.072
43.508,43.803,0.492
56.586,58.000,0.096
18.324,19.125,0.044
34.706,35.426,0.032
34.623,34.866,0.560
37.866,38.850,0.052
22.267,22.997,0.032
12.678,13.397,0.064
13.931,14.529,0.036
61.575,62.044,0.592
40.108,40.995,0.044
38.031,38.598,0.512
57.565,59.908,0.204
29.337,30.034,0.068
29.835,29.834,0.616
8.990,9.553,0.044
35.023,35.786,0.024
40.360,41.431,0.056
20.157,21.001,0.024
70.102,70.636,0.608
25.085,25.726,0.152
18.450,19.205,0.040
17.648,17.869,0.528
27.277,28.338,0.016
19.695,20.305,0.048
26.983,27.926,0.056
11.327,12.065,0.056
40.821,41.091,0.632
51.931,52.647,0.028
28.355,29.294,0.036
17.098,17.717,0.048
37.629,38.322,0.524
12.196,12.809,0.048
18.343,19.221,0.024
14.110,14.725,0.016
10.779,11.285,0.028
36.013,36.722,0.216
49.994,50.855,0.372
27.689,28.398,0.032
45.172,45.763,0.368
14.969,15.409,0.172
17.413,18.273,0.048
6.588,7.236,0.048
18.972,19.753,0.044
48.732,50.583,0.064
30.017,30.246,0.704
43.146,44.043,0.056
35.192,36.534,0.036
36.569,37.114,0.528
58.149,60.048,0.044
51.980,52.215,0.560
40.544,41.495,0.048
16.769,17.561,0.052
15.969,16.681,0.056
82.361,83.645,0.616
22.618,23.389,0.036
30.591,31.774,0.040
9.284,9.937,0.060
38.791,39.090,0.580
29.770,30.618,0.036
16.354,17.065,0.040
28.760,29.638,0.020
14.514,15.081,0.040
7.827,8.309,0.140
16.742,16.717,0.536
23.384,23.985,0.020
50.918,52.751,0.040
15.598,16.269,0.020
31.928,32.086,0.592
34.669,35.494,0.032
27.553,28.314,0.032
6.973,7.456,0.028
38.483,39.318,0.576
26.439,27.514,0.020
61.829,62.648,0.032
