real,user,sys
0.317,0.492,0.020
0.318,0.504,0.008
0.315,0.488,0.020
0.321,0.536,0.016
0.326,0.536,0.016
0.320,0.508,0.012
0.317,0.500,0.012
0.317,0.492,0.020
0.319,0.496,0.016
0.315,0.500,0.008
0.319,0.532,0.020
0.339,0.608,0.016
0.316,0.488,0.020
0.316,0.492,0.020
0.319,0.504,0.012
0.316,0.508,0.004
0.317,0.496,0.012
0.316,0.480,0.028
0.316,0.492,0.016
0.315,0.488,0.020
0.314,0.496,0.008
0.317,0.504,0.008
0.314,0.496,0.012
0.320,0.504,0.012
0.321,0.492,0.020
0.332,0.508,0.016
0.323,0.500,0.016
0.318,0.488,0.020
0.324,0.496,0.024
0.319,0.484,0.028
0.321,0.500,0.016
0.316,0.496,0.012
0.327,0.540,0.016
0.316,0.496,0.012
0.319,0.496,0.016
0.318,0.484,0.028
0.331,0.552,0.020
0.318,0.488,0.024
0.316,0.488,0.020
0.318,0.504,0.008
0.318,0.492,0.020
0.316,0.488,0.020
0.318,0.500,0.012
0.318,0.500,0.012
0.319,0.500,0.016
0.317,0.500,0.012
0.316,0.484,0.028
0.317,0.492,0.020
0.327,0.504,0.016
0.319,0.496,0.016
0.318,0.496,0.016
0.316,0.488,0.020
0.320,0.492,0.020
0.315,0.472,0.036
0.320,0.500,0.012
0.316,0.484,0.024
0.320,0.492,0.020
0.329,0.548,0.020
0.315,0.496,0.016
0.321,0.496,0.020
0.313,0.496,0.008
0.317,0.484,0.028
0.317,0.500,0.012
0.314,0.488,0.016
0.315,0.492,0.016
0.320,0.500,0.012
0.315,0.492,0.016
0.345,0.552,0.024
0.360,0.472,0.048
0.330,0.488,0.024
0.327,0.488,0.032
0.330,0.504,0.032
0.359,0.484,0.060
0.366,0.532,0.048
0.346,0.532,0.016
0.322,0.512,0.004
0.350,0.532,0.036
0.313,0.488,0.016
0.320,0.496,0.020
0.332,0.500,0.028
0.330,0.484,0.028
0.317,0.464,0.048
0.331,0.484,0.028
0.328,0.476,0.044
0.339,0.492,0.040
0.355,0.496,0.040
0.320,0.492,0.020
0.348,0.492,0.036
0.313,0.488,0.020
0.337,0.584,0.008
0.313,0.488,0.020
0.317,0.488,0.020
0.322,0.500,0.012
0.316,0.484,0.024
0.316,0.480,0.028
0.317,0.504,0.008
0.316,0.540,0.008
0.317,0.488,0.024
0.313,0.488,0.016
0.319,0.484,0.028
