real,user,sys
0.751,1.092,0.032
0.738,1.056,0.016
0.759,1.076,0.044
0.738,1.044,0.036
0.741,1.088,0.036
0.740,1.044,0.028
0.737,1.064,0.012
0.741,1.064,0.020
0.733,1.060,0.024
0.753,1.092,0.024
0.753,1.136,0.016
0.831,1.148,0.028
0.735,1.060,0.020
0.737,1.068,0.024
0.734,1.048,0.028
0.733,1.056,0.020
0.756,1.100,0.040
0.747,1.096,0.008
0.754,1.080,0.016
0.738,1.056,0.020
0.735,1.040,0.040
0.745,1.116,0.016
0.742,1.072,0.020
0.731,1.044,0.020
0.740,1.060,0.020
0.733,1.036,0.032
0.738,1.048,0.032
0.736,1.052,0.032
0.747,1.112,0.012
0.753,1.088,0.036
0.734,1.052,0.028
0.743,1.072,0.028
0.739,1.056,0.028
0.746,1.100,0.028
0.753,1.060,0.016
0.756,1.048,0.040
0.750,1.072,0.044
0.754,1.120,0.028
0.734,1.072,0.008
0.742,1.084,0.008
0.749,1.084,0.036
0.741,1.056,0.020
0.741,1.052,0.032
0.740,1.068,0.016
0.740,1.076,0.024
0.743,1.100,0.004
0.738,1.088,0.032
0.747,1.076,0.020
0.817,1.064,0.068
0.792,1.044,0.088
0.782,1.052,0.084
0.798,1.112,0.076
0.798,1.040,0.088
0.820,1.044,0.092
0.816,1.040,0.100
0.808,1.140,0.080
0.755,1.032,0.060
0.734,1.092,0.024
0.742,1.068,0.028
0.739,1.072,0.016
0.742,1.076,0.032
0.768,1.120,0.032
0.738,1.044,0.032
0.744,1.084,0.012
0.732,1.068,0.020
0.739,1.048,0.036
0.745,1.048,0.048
0.738,1.076,0.044
0.762,1.152,0.028
0.740,1.028,0.052
0.735,1.048,0.032
0.738,1.076,0.016
0.744,1.120,0.012
0.730,1.064,0.016
0.727,1.040,0.020
0.737,1.064,0.020
0.744,1.092,0.016
0.735,1.060,0.008
0.735,1.064,0.020
0.736,1.044,0.040
0.739,1.052,0.032
0.746,1.072,0.024
0.759,1.112,0.020
0.736,1.044,0.028
0.743,1.076,0.040
0.743,1.072,0.016
0.740,1.084,0.020
0.725,1.052,0.012
0.744,1.076,0.024
0.745,1.064,0.036
0.741,1.048,0.036
0.730,1.040,0.024
0.735,1.040,0.032
0.738,1.024,0.056
0.744,1.076,0.020
0.733,1.068,0.008
0.731,1.040,0.028
0.752,1.108,0.032
0.739,1.052,0.036
0.732,1.044,0.024
