real,user,sys
0.787,1.128,0.024
0.791,1.152,0.052
0.801,1.184,0.028
0.781,1.116,0.028
0.790,1.120,0.040
0.790,1.160,0.024
0.784,1.132,0.016
0.777,1.128,0.024
0.792,1.184,0.020
0.777,1.120,0.020
0.794,1.156,0.024
0.787,1.152,0.028
0.788,1.148,0.012
0.788,1.124,0.032
0.779,1.136,0.012
0.787,1.164,0.024
0.803,1.160,0.040
0.819,1.108,0.064
0.867,1.132,0.100
0.824,1.136,0.056
0.875,1.136,0.092
0.824,1.132,0.072
0.859,1.108,0.120
0.821,1.160,0.048
0.859,1.096,0.120
0.779,1.112,0.032
0.801,1.172,0.032
0.778,1.124,0.020
0.785,1.132,0.016
0.783,1.120,0.036
0.787,1.152,0.024
0.793,1.140,0.028
0.779,1.132,0.016
0.786,1.116,0.040
0.794,1.192,0.016
0.783,1.120,0.036
0.784,1.136,0.016
0.778,1.124,0.020
0.785,1.128,0.024
0.792,1.144,0.028
0.793,1.172,0.024
0.778,1.116,0.036
0.784,1.136,0.024
0.783,1.128,0.024
0.786,1.164,0.028
0.788,1.124,0.028
0.783,1.136,0.020
0.790,1.132,0.032
0.777,1.108,0.032
0.787,1.128,0.032
0.796,1.184,0.028
0.785,1.132,0.024
0.790,1.160,0.044
0.787,1.136,0.028
0.791,1.168,0.052
0.784,1.124,0.024
0.784,1.128,0.024
0.776,1.108,0.032
0.786,1.140,0.016
0.787,1.116,0.044
0.784,1.124,0.028
0.787,1.164,0.004
0.791,1.160,0.028
0.805,1.184,0.028
0.781,1.108,0.040
0.789,1.132,0.020
0.783,1.144,0.024
0.790,1.152,0.012
0.783,1.128,0.024
0.778,1.124,0.024
0.787,1.116,0.036
0.781,1.112,0.048
0.792,1.148,0.020
0.791,1.172,0.020
0.787,1.128,0.024
0.780,1.128,0.028
0.784,1.108,0.040
0.790,1.132,0.032
0.785,1.132,0.032
0.776,1.100,0.040
0.784,1.120,0.036
0.790,1.168,0.024
0.798,1.164,0.028
0.786,1.136,0.020
0.786,1.152,0.020
0.794,1.176,0.020
0.779,1.112,0.036
0.804,1.180,0.024
0.789,1.128,0.036
0.788,1.140,0.044
0.791,1.128,0.044
0.786,1.112,0.048
0.785,1.136,0.012
0.784,1.136,0.024
0.784,1.124,0.028
0.802,1.212,0.016
0.785,1.120,0.028
0.786,1.164,0.012
0.784,1.136,0.024
0.778,1.120,0.032
