real,user,sys
5.359,5.336,0.008
5.370,5.352,0.004
5.307,5.288,0.004
5.302,5.284,0.004
5.293,5.268,0.012
5.302,5.288,0.000
5.382,5.368,0.000
5.292,5.276,0.000
5.297,5.280,0.004
5.385,5.364,0.008
5.288,5.272,0.004
5.313,5.288,0.012
5.288,5.268,0.004
5.314,5.296,0.004
5.295,5.280,0.000
5.275,5.256,0.004
5.297,5.280,0.004
5.695,5.284,0.280
5.682,5.368,0.264
5.286,5.260,0.012
5.289,5.260,0.016
5.304,5.284,0.004
5.282,5.268,0.000
5.382,5.364,0.004
5.298,5.284,0.000
5.303,5.288,0.000
5.376,5.360,0.000
5.304,5.284,0.008
5.274,5.252,0.008
5.367,5.344,0.008
5.293,5.276,0.004
5.298,5.268,0.016
5.321,5.304,0.004
5.294,5.280,0.000
5.292,5.272,0.008
5.287,5.264,0.008
5.329,5.316,0.000
5.289,5.272,0.004
5.289,5.272,0.004
5.433,5.268,0.092
5.879,5.348,0.432
5.321,5.308,0.000
5.277,5.264,0.000
5.457,5.436,0.008
5.278,5.260,0.004
5.339,5.324,0.000
5.296,5.272,0.008
5.337,5.316,0.008
5.298,5.272,0.012
5.381,5.360,0.008
5.340,5.316,0.008
5.325,5.300,0.012
5.283,5.264,0.004
5.293,5.268,0.012
5.303,5.284,0.004
5.356,5.332,0.008
5.296,5.280,0.000
5.293,5.280,0.000
5.283,5.268,0.000
5.295,5.268,0.012
5.353,5.340,0.000
5.298,5.276,0.008
5.852,5.300,0.488
5.510,5.328,0.132
5.276,5.248,0.016
5.296,5.276,0.004
5.368,5.348,0.004
5.274,5.260,0.000
5.297,5.276,0.008
5.312,5.296,0.004
5.298,5.284,0.000
5.279,5.256,0.008
5.390,5.368,0.008
5.310,5.292,0.004
5.379,5.360,0.004
5.294,5.272,0.008
5.316,5.304,0.000
5.316,5.296,0.004
5.344,5.324,0.004
5.299,5.284,0.000
5.294,5.276,0.004
5.300,5.280,0.004
5.286,5.272,0.000
5.275,5.248,0.012
5.524,5.276,0.152
5.755,5.288,0.392
5.317,5.300,0.004
5.269,5.252,0.004
5.306,5.288,0.004
5.380,5.364,0.000
5.298,5.284,0.000
5.289,5.272,0.004
5.373,5.356,0.004
5.328,5.304,0.008
5.282,5.260,0.008
5.506,5.488,0.004
5.283,5.260,0.008
5.302,5.288,0.000
5.303,5.280,0.008
5.295,5.272,0.008
