real,user,sys
12.045,12.013,0.004
12.016,11.989,0.000
11.456,11.421,0.008
12.565,11.837,0.564
11.542,11.513,0.004
11.679,11.649,0.004
11.496,11.465,0.004
11.414,11.381,0.008
11.797,11.761,0.008
11.585,11.553,0.004
11.573,11.545,0.000
11.609,11.577,0.004
11.681,11.653,0.000
12.488,11.737,0.596
11.580,11.549,0.004
11.600,11.573,0.000
11.539,11.505,0.008
11.652,11.625,0.000
11.659,11.621,0.012
11.655,11.625,0.004
11.751,11.717,0.008
11.732,11.697,0.008
11.449,11.417,0.008
11.995,11.549,0.372
12.028,11.741,0.224
11.700,11.673,0.000
11.521,11.493,0.000
11.846,11.813,0.008
11.551,11.517,0.008
11.391,11.357,0.008
11.623,11.589,0.008
11.540,11.505,0.008
11.433,11.409,0.000
11.591,11.481,0.084
12.370,11.753,0.504
11.633,11.597,0.008
11.445,11.409,0.008
11.504,11.473,0.004
11.345,11.321,0.000
11.753,11.717,0.008
11.490,11.457,0.008
11.693,11.665,0.000
11.545,11.513,0.004
11.373,11.345,0.004
11.993,11.321,0.504
11.692,11.657,0.008
11.541,11.505,0.008
11.821,11.793,0.000
11.665,11.625,0.012
11.564,11.537,0.000
11.560,11.529,0.004
11.536,11.509,0.000
11.418,11.389,0.004
11.681,11.649,0.004
12.022,11.453,0.480
11.904,11.697,0.156
12.344,12.317,0.000
11.457,11.421,0.008
11.612,11.581,0.004
11.702,11.677,0.000
11.404,11.365,0.012
11.485,11.449,0.008
11.715,11.673,0.016
11.488,11.453,0.008
11.586,11.353,0.148
12.167,11.685,0.368
11.441,11.405,0.008
11.562,11.529,0.008
11.569,11.537,0.004
11.762,11.725,0.012
11.553,11.509,0.016
11.512,11.481,0.004
11.778,11.749,0.004
11.431,11.401,0.004
11.753,11.725,0.000
12.365,11.665,0.484
11.830,11.793,0.008
11.836,11.805,0.004
11.686,11.653,0.008
11.489,11.453,0.008
11.517,11.481,0.012
11.730,11.701,0.004
11.568,11.541,0.000
11.596,11.569,0.000
11.635,11.609,0.000
12.536,11.765,0.636
11.498,11.469,0.004
11.522,11.497,0.000
11.753,11.721,0.004
11.584,11.553,0.004
11.539,11.501,0.012
11.500,11.465,0.008
11.558,11.533,0.000
11.579,11.553,0.000
11.516,11.481,0.008
12.020,11.549,0.384
11.722,11.453,0.184
11.581,11.545,0.008
11.640,11.609,0.004
11.404,11.377,0.000
