real,user,sys
0.261,0.412,0.020
0.240,0.380,0.024
0.242,0.400,0.008
0.238,0.388,0.016
0.241,0.372,0.036
0.238,0.380,0.024
0.240,0.392,0.012
0.239,0.384,0.020
0.241,0.380,0.028
0.238,0.372,0.032
0.242,0.384,0.024
0.248,0.388,0.024
0.245,0.396,0.016
0.240,0.384,0.020
0.248,0.388,0.016
0.243,0.380,0.028
0.240,0.388,0.016
0.240,0.384,0.024
0.240,0.384,0.020
0.241,0.376,0.032
0.239,0.388,0.020
0.239,0.392,0.012
0.241,0.388,0.016
0.248,0.424,0.008
0.240,0.376,0.028
0.239,0.372,0.032
0.245,0.392,0.024
0.240,0.376,0.032
0.243,0.404,0.008
0.242,0.368,0.024
0.246,0.388,0.028
0.240,0.392,0.016
0.242,0.376,0.032
0.240,0.372,0.032
0.239,0.376,0.028
0.241,0.384,0.024
0.244,0.400,0.008
0.241,0.372,0.036
0.240,0.372,0.032
0.239,0.384,0.008
0.242,0.372,0.036
0.237,0.380,0.008
0.238,0.384,0.008
0.245,0.416,0.028
0.244,0.372,0.024
0.244,0.384,0.024
0.239,0.376,0.012
0.260,0.432,0.012
0.252,0.432,0.032
0.245,0.408,0.008
0.241,0.380,0.028
0.242,0.376,0.032
0.240,0.380,0.024
0.239,0.384,0.020
0.247,0.392,0.020
0.239,0.388,0.016
0.243,0.388,0.024
0.241,0.392,0.016
0.239,0.364,0.040
0.240,0.384,0.020
0.238,0.396,0.012
0.241,0.388,0.016
0.239,0.396,0.012
0.239,0.388,0.012
0.241,0.388,0.020
0.243,0.376,0.032
0.244,0.392,0.016
0.239,0.372,0.032
0.240,0.392,0.012
0.242,0.376,0.032
0.239,0.388,0.016
0.242,0.380,0.028
0.240,0.408,0.020
0.241,0.376,0.028
0.236,0.376,0.012
0.244,0.396,0.024
0.238,0.380,0.024
0.240,0.380,0.028
0.239,0.384,0.020
0.240,0.392,0.016
0.241,0.388,0.020
0.240,0.368,0.036
0.240,0.380,0.024
0.238,0.372,0.032
0.240,0.372,0.032
0.238,0.368,0.036
0.239,0.388,0.016
0.237,0.356,0.032
0.242,0.388,0.020
0.240,0.384,0.024
0.242,0.384,0.012
0.239,0.392,0.012
0.245,0.428,0.016
0.244,0.384,0.028
0.241,0.380,0.024
0.241,0.368,0.036
0.259,0.440,0.020
0.247,0.392,0.024
0.247,0.392,0.020
0.244,0.392,0.016
