real,user,sys
0.304,0.420,0.020
0.312,0.432,0.040
0.316,0.420,0.044
0.311,0.432,0.016
0.304,0.416,0.024
0.314,0.436,0.020
0.307,0.436,0.020
0.294,0.428,0.016
0.306,0.436,0.016
0.311,0.448,0.012
0.294,0.424,0.020
0.312,0.452,0.012
0.290,0.424,0.016
0.310,0.436,0.024
0.295,0.424,0.020
0.308,0.448,0.008
0.311,0.432,0.028
0.305,0.432,0.020
0.318,0.440,0.032
0.297,0.428,0.024
0.289,0.420,0.016
0.291,0.420,0.020
0.297,0.432,0.012
0.285,0.440,0.008
0.293,0.404,0.044
0.289,0.420,0.016
0.293,0.424,0.020
0.310,0.440,0.020
0.298,0.432,0.020
0.294,0.420,0.024
0.324,0.460,0.020
0.294,0.412,0.032
0.290,0.420,0.020
0.305,0.432,0.024
0.306,0.424,0.028
0.292,0.424,0.016
0.302,0.440,0.008
0.295,0.420,0.024
0.308,0.432,0.024
0.289,0.428,0.012
0.313,0.460,0.008
0.311,0.440,0.020
0.296,0.424,0.020
0.293,0.420,0.024
0.310,0.420,0.040
0.289,0.428,0.012
0.306,0.436,0.020
0.291,0.388,0.048
0.309,0.444,0.016
0.315,0.428,0.040
0.310,0.436,0.020
0.310,0.444,0.020
0.318,0.460,0.016
0.309,0.428,0.028
0.294,0.436,0.008
0.315,0.444,0.024
0.290,0.432,0.008
0.303,0.444,0.016
0.315,0.456,0.016
0.292,0.416,0.024
0.303,0.436,0.016
0.293,0.428,0.012
0.310,0.432,0.024
0.311,0.432,0.032
0.292,0.412,0.028
0.312,0.440,0.020
0.291,0.412,0.028
0.300,0.440,0.016
0.307,0.428,0.028
0.308,0.432,0.024
0.294,0.424,0.020
0.307,0.420,0.036
0.298,0.444,0.004
0.309,0.444,0.016
0.289,0.428,0.008
0.296,0.416,0.028
0.292,0.424,0.016
0.308,0.428,0.028
0.298,0.444,0.004
0.292,0.424,0.016
0.295,0.432,0.012
0.311,0.448,0.012
0.293,0.428,0.016
0.311,0.428,0.032
0.292,0.432,0.012
0.309,0.440,0.020
0.308,0.440,0.016
0.311,0.444,0.016
0.303,0.444,0.008
0.303,0.432,0.020
0.293,0.420,0.020
0.311,0.432,0.028
0.296,0.420,0.024
0.308,0.436,0.020
0.292,0.424,0.016
0.300,0.436,0.020
0.308,0.420,0.036
0.309,0.448,0.012
0.287,0.432,0.004
0.292,0.424,0.016
