real,user,sys
3.008,2.992,0.008
2.922,2.896,0.016
2.962,2.944,0.008
2.943,2.932,0.004
2.946,2.932,0.004
2.933,2.916,0.008
2.930,2.920,0.000
2.918,2.904,0.004
2.934,2.920,0.004
2.975,2.960,0.004
2.934,2.920,0.004
2.954,2.944,0.000
2.938,2.924,0.004
3.247,2.936,0.184
3.264,2.972,0.260
3.037,2.924,0.068
3.221,2.980,0.184
3.230,2.924,0.236
3.123,2.924,0.152
2.948,2.932,0.008
2.935,2.916,0.008
2.929,2.920,0.000
2.985,2.964,0.012
3.361,2.992,0.324
3.229,2.936,0.248
2.971,2.928,0.020
2.929,2.912,0.008
2.955,2.948,0.000
2.955,2.940,0.004
3.018,3.004,0.004
2.934,2.920,0.004
2.938,2.924,0.004
2.987,2.972,0.004
2.927,2.920,0.000
2.931,2.912,0.008
2.942,2.924,0.008
2.932,2.924,0.000
2.971,2.960,0.000
2.933,2.924,0.000
2.924,2.912,0.004
2.983,2.968,0.004
2.962,2.948,0.004
2.944,2.928,0.008
2.955,2.940,0.004
2.956,2.944,0.004
2.945,2.936,0.000
2.943,2.924,0.012
2.945,2.932,0.004
2.924,2.916,0.000
2.965,2.948,0.008
2.947,2.940,0.000
2.944,2.936,0.000
2.958,2.948,0.000
2.966,2.956,0.000
2.935,2.920,0.004
2.942,2.932,0.000
2.935,2.924,0.004
2.925,2.916,0.000
2.955,2.940,0.004
2.994,2.980,0.004
2.931,2.924,0.000
2.962,2.952,0.000
2.957,2.944,0.004
3.216,2.940,0.232
3.224,2.908,0.248
3.106,2.924,0.148
2.943,2.932,0.000
2.945,2.936,0.000
2.928,2.920,0.000
2.980,2.964,0.008
2.998,2.980,0.008
2.939,2.920,0.008
2.933,2.924,0.000
2.945,2.932,0.004
2.999,2.984,0.008
2.949,2.940,0.000
2.978,2.968,0.000
2.952,2.940,0.004
2.929,2.916,0.004
2.923,2.912,0.004
2.940,2.928,0.004
2.943,2.936,0.000
2.961,2.952,0.000
2.920,2.908,0.004
2.961,2.948,0.004
2.943,2.928,0.004
2.977,2.964,0.004
2.945,2.936,0.000
2.931,2.920,0.000
2.929,2.920,0.000
2.927,2.916,0.000
2.956,2.940,0.008
2.926,2.908,0.008
2.938,2.928,0.000
2.980,2.968,0.004
2.933,2.920,0.004
2.962,2.940,0.012
2.948,2.940,0.000
2.945,2.932,0.004
2.927,2.920,0.000
