real,user,sys
4.983,4.968,0.000
5.036,5.020,0.004
5.349,4.948,0.292
5.323,5.020,0.240
4.987,4.968,0.004
4.958,4.944,0.000
4.969,4.948,0.008
4.953,4.936,0.004
4.964,4.952,0.000
4.970,4.952,0.004
4.976,4.952,0.012
4.918,4.904,0.000
4.963,4.944,0.004
4.949,4.932,0.004
4.953,4.936,0.004
4.985,4.972,0.000
5.003,4.984,0.008
4.984,4.964,0.008
4.964,4.952,0.000
4.930,4.908,0.008
4.965,4.940,0.012
5.091,5.072,0.004
4.959,4.932,0.012
4.941,4.920,0.008
4.951,4.936,0.000
4.965,4.948,0.004
5.380,4.996,0.308
5.255,4.956,0.248
4.950,4.932,0.004
4.967,4.944,0.008
4.971,4.956,0.000
4.947,4.928,0.004
4.950,4.936,0.000
4.964,4.944,0.008
4.975,4.960,0.004
4.960,4.944,0.004
4.969,4.940,0.016
4.955,4.944,0.000
4.958,4.944,0.000
4.969,4.952,0.004
4.953,4.936,0.004
4.926,4.912,0.000
4.962,4.944,0.004
4.955,4.936,0.004
5.021,5.004,0.004
4.992,4.976,0.004
5.051,5.032,0.004
5.000,4.984,0.004
4.945,4.932,0.000
4.978,4.964,0.000
5.428,4.980,0.340
5.303,5.060,0.180
4.968,4.948,0.008
4.964,4.948,0.004
4.982,4.964,0.004
5.013,5.000,0.000
5.005,4.984,0.008
4.978,4.960,0.004
4.954,4.936,0.004
4.981,4.960,0.008
4.972,4.956,0.004
4.954,4.936,0.004
4.944,4.928,0.004
4.979,4.964,0.000
5.013,4.992,0.008
4.980,4.956,0.012
4.965,4.952,0.000
5.165,5.148,0.004
4.952,4.940,0.000
4.960,4.940,0.008
4.973,4.956,0.004
4.966,4.952,0.000
4.971,4.952,0.004
4.965,4.948,0.004
5.436,4.968,0.372
5.197,4.944,0.192
4.925,4.912,0.000
4.980,4.964,0.004
4.955,4.944,0.000
4.969,4.956,0.000
5.065,5.044,0.008
4.943,4.916,0.012
4.987,4.968,0.004
4.989,4.976,0.000
5.005,4.988,0.004
4.938,4.920,0.004
4.939,4.920,0.004
4.933,4.912,0.008
4.944,4.928,0.004
4.960,4.948,0.000
4.967,4.944,0.008
5.019,4.996,0.008
4.990,4.972,0.004
4.973,4.960,0.000
4.974,4.956,0.004
4.982,4.964,0.004
4.959,4.944,0.004
5.063,5.036,0.012
5.537,4.992,0.436
5.164,4.976,0.140
