real;user;sys;
1.391;1.764;0.056;
1.375;1.704;0.092;
1.369;1.744;0.044;
1.379;1.74;0.072;
1.418;1.796;0.1;
1.37;1.752;0.036;
1.36;1.756;0.024;
1.379;1.74;0.068;
1.4;1.764;0.076;
1.404;1.832;0.052;
1.377;1.748;0.072;
1.366;1.72;0.068;
1.394;1.76;0.068;
1.366;1.736;0.048;
1.353;1.724;0.056;
1.375;1.736;0.068;
1.388;1.752;0.056;
1.401;1.812;0.068;
1.373;1.728;0.052;
1.358;1.716;0.056;
1.376;1.736;0.072;
1.354;1.708;0.06;
1.376;1.744;0.06;
1.397;1.784;0.076;
1.388;1.804;0.056;
1.355;1.712;0.052;
1.367;1.712;0.072;
1.358;1.744;0.032;
1.392;1.764;0.068;
1.363;1.724;0.048;
1.371;1.74;0.048;
1.366;1.736;0.052;
1.395;1.744;0.092;
1.372;1.752;0.044;
1.402;1.788;0.064;
1.39;1.812;0.084;
1.378;1.732;0.056;
1.409;1.724;0.108;
1.376;1.724;0.068;
1.37;1.756;0.036;
1.405;1.848;0.068;
1.406;1.804;0.096;
1.376;1.752;0.044;
1.361;1.704;0.068;
1.397;1.752;0.1;
1.378;1.732;0.072;
1.405;1.792;0.052;
1.365;1.728;0.052;
1.389;1.748;0.068;
1.391;1.772;0.06;
1.376;1.744;0.048;
1.403;1.788;0.064;
1.371;1.732;0.056;
1.35;1.704;0.064;
1.366;1.736;0.056;
1.396;1.764;0.052;
1.356;1.72;0.048;
1.372;1.732;0.06;
1.399;1.808;0.052;
1.37;1.752;0.032;
1.372;1.728;0.064;
1.355;1.724;0.048;
1.362;1.736;0.04;
1.422;1.824;0.076;
1.414;1.756;0.076;
1.398;1.76;0.076;
1.393;1.74;0.068;
1.38;1.744;0.056;
1.41;1.796;0.096;
1.376;1.704;0.084;
1.4;1.804;0.056;
1.359;1.724;0.052;
1.361;1.728;0.048;
1.418;1.816;0.056;
1.369;1.74;0.048;
1.373;1.748;0.06;
1.38;1.76;0.06;
1.53;1.704;0.172;
1.505;1.712;0.188;
1.513;1.764;0.152;
1.514;1.792;0.18;
1.446;1.728;0.156;
1.394;1.732;0.076;
1.417;1.828;0.056;
1.415;1.804;0.092;
1.41;1.768;0.072;
1.415;1.768;0.088;
1.364;1.728;0.056;
1.371;1.72;0.068;
1.375;1.752;0.056;
1.364;1.712;0.068;
1.369;1.724;0.064;
1.383;1.796;0.064;
1.401;1.796;0.068;
1.389;1.736;0.064;
1.354;1.688;0.08;
1.374;1.756;0.044;
1.357;1.708;0.064;
1.406;1.728;0.112;
1.411;1.784;0.072;
1.38802;1.75136;0.06868;MEAN
