real;user;sys;
0.317;0.492;0.02;
0.318;0.504;0.008;
0.315;0.488;0.02;
0.321;0.536;0.016;
0.326;0.536;0.016;
0.32;0.508;0.012;
0.317;0.5;0.012;
0.317;0.492;0.02;
0.319;0.496;0.016;
0.315;0.5;0.008;
0.319;0.532;0.02;
0.339;0.608;0.016;
0.316;0.488;0.02;
0.316;0.492;0.02;
0.319;0.504;0.012;
0.316;0.508;0.004;
0.317;0.496;0.012;
0.316;0.48;0.028;
0.316;0.492;0.016;
0.315;0.488;0.02;
0.314;0.496;0.008;
0.317;0.504;0.008;
0.314;0.496;0.012;
0.32;0.504;0.012;
0.321;0.492;0.02;
0.332;0.508;0.016;
0.323;0.5;0.016;
0.318;0.488;0.02;
0.324;0.496;0.024;
0.319;0.484;0.028;
0.321;0.5;0.016;
0.316;0.496;0.012;
0.327;0.54;0.016;
0.316;0.496;0.012;
0.319;0.496;0.016;
0.318;0.484;0.028;
0.331;0.552;0.02;
0.318;0.488;0.024;
0.316;0.488;0.02;
0.318;0.504;0.008;
0.318;0.492;0.02;
0.316;0.488;0.02;
0.318;0.5;0.012;
0.318;0.5;0.012;
0.319;0.5;0.016;
0.317;0.5;0.012;
0.316;0.484;0.028;
0.317;0.492;0.02;
0.327;0.504;0.016;
0.319;0.496;0.016;
0.318;0.496;0.016;
0.316;0.488;0.02;
0.32;0.492;0.02;
0.315;0.472;0.036;
0.32;0.5;0.012;
0.316;0.484;0.024;
0.32;0.492;0.02;
0.329;0.548;0.02;
0.315;0.496;0.016;
0.321;0.496;0.02;
0.313;0.496;0.008;
0.317;0.484;0.028;
0.317;0.5;0.012;
0.314;0.488;0.016;
0.315;0.492;0.016;
0.32;0.5;0.012;
0.315;0.492;0.016;
0.345;0.552;0.024;
0.36;0.472;0.048;
0.33;0.488;0.024;
0.327;0.488;0.032;
0.33;0.504;0.032;
0.359;0.484;0.06;
0.366;0.532;0.048;
0.346;0.532;0.016;
0.322;0.512;0.004;
0.35;0.532;0.036;
0.313;0.488;0.016;
0.32;0.496;0.02;
0.332;0.5;0.028;
0.33;0.484;0.028;
0.317;0.464;0.048;
0.331;0.484;0.028;
0.328;0.476;0.044;
0.339;0.492;0.04;
0.355;0.496;0.04;
0.32;0.492;0.02;
0.348;0.492;0.036;
0.313;0.488;0.02;
0.337;0.584;0.008;
0.313;0.488;0.02;
0.317;0.488;0.02;
0.322;0.5;0.012;
0.316;0.484;0.024;
0.316;0.48;0.028;
0.317;0.504;0.008;
0.316;0.54;0.008;
0.317;0.488;0.024;
0.313;0.488;0.016;
0.319;0.484;0.028;
0.317;0.492;0.02;MEAN
