real;user;sys;
0.734;1.06;0.02;
0.726;1.064;0.008;
0.735;1.044;0.036;
0.739;1.096;0.028;
0.736;1.06;0.024;
0.729;1.036;0.032;
0.733;1.044;0.032;
0.735;1.06;0.02;
0.731;1.08;0.02;
0.735;1.056;0.028;
0.732;1.048;0.024;
0.737;1.056;0.024;
0.732;1.072;0.024;
0.735;1.044;0.04;
0.739;1.104;0.02;
0.745;1.1;0.016;
0.733;1.06;0.012;
0.733;1.052;0.024;
0.743;1.08;0.012;
0.734;1.052;0.028;
0.729;1.04;0.032;
0.735;1.052;0.028;
0.73;1.044;0.032;
0.776;1.136;0.036;
0.729;1.064;0.012;
0.732;1.064;0.016;
0.734;1.068;0.02;
0.739;1.06;0.028;
0.732;1.06;0.024;
0.738;1.056;0.032;
0.727;1.044;0.024;
0.739;1.048;0.036;
0.74;1.084;0.036;
0.736;1.06;0.024;
0.74;1.108;0.028;
0.739;1.112;0.008;
0.731;1.048;0.028;
0.743;1.092;0.036;
0.741;1.088;0.008;
0.744;1.112;0.02;
0.728;1.04;0.032;
0.735;1.06;0.024;
0.735;1.06;0.048;
0.738;1.096;0.02;
0.748;1.096;0.024;
0.729;1.036;0.036;
0.734;1.072;0.012;
0.735;1.068;0.012;
0.74;1.076;0.02;
0.728;1.06;0.016;
0.745;1.072;0.024;
0.727;1.048;0.028;
0.73;1.072;0.008;
0.74;1.08;0.04;
0.739;1.072;0.02;
0.752;1.132;0.024;
0.74;1.072;0.032;
0.744;1.076;0.036;
0.73;1.056;0.02;
0.74;1.056;0.028;
0.733;1.056;0.024;
0.74;1.072;0.044;
0.738;1.052;0.028;
0.728;1.052;0.024;
0.738;1.052;0.036;
0.738;1.06;0.032;
0.736;1.052;0.032;
0.729;1.044;0.04;
0.74;1.04;0.044;
0.736;1.084;0.028;
0.741;1.064;0.028;
0.736;1.064;0.024;
0.731;1.048;0.028;
0.749;1.096;0.028;
0.738;1.06;0.02;
0.733;1.048;0.028;
0.738;1.072;0.016;
0.738;1.06;0.024;
0.74;1.096;0.028;
0.729;1.04;0.028;
0.735;1.056;0.024;
0.738;1.08;0.04;
0.733;1.036;0.044;
0.738;1.076;0.044;
0.739;1.056;0.032;
0.749;1.084;0.044;
0.746;1.092;0.028;
0.737;1.052;0.032;
0.728;1.052;0.024;
0.736;1.048;0.036;
0.739;1.044;0.044;
0.732;1.064;0.016;
0.733;1.052;0.024;
0.74;1.048;0.036;
0.741;1.104;0.008;
0.73;1.04;0.032;
0.734;1.06;0.016;
0.739;1.08;0.032;
0.74;1.052;0.028;
0.733;1.092;0.016;
0.73656;1.06588;0.02668;Mean
