real;user;sys;
0.253;0.42;0.024;
0.252;0.412;0.028;
0.255;0.436;0.012;
0.252;0.436;0.008;
0.253;0.428;0.016;
0.256;0.404;0.044;
0.253;0.444;0.016;
0.267;0.452;0.016;
0.255;0.428;0.02;
0.253;0.424;0.02;
0.255;0.42;0.024;
0.255;0.432;0.016;
0.254;0.408;0.036;
0.255;0.424;0.02;
0.253;0.408;0.036;
0.253;0.432;0.028;
0.254;0.416;0.028;
0.253;0.404;0.036;
0.253;0.42;0.024;
0.253;0.436;0.024;
0.253;0.412;0.044;
0.256;0.448;0.004;
0.254;0.424;0.036;
0.255;0.424;0.02;
0.254;0.424;0.02;
0.254;0.416;0.028;
0.254;0.424;0.02;
0.254;0.424;0.02;
0.257;0.448;0.016;
0.255;0.428;0.016;
0.251;0.416;0.024;
0.256;0.42;0.028;
0.251;0.408;0.032;
0.253;0.428;0.016;
0.253;0.408;0.036;
0.256;0.408;0.04;
0.262;0.424;0.028;
0.254;0.42;0.028;
0.254;0.428;0.016;
0.26;0.436;0.016;
0.256;0.444;0.02;
0.255;0.428;0.02;
0.253;0.42;0.02;
0.26;0.432;0.02;
0.252;0.424;0.016;
0.253;0.436;0.024;
0.252;0.42;0.04;
0.256;0.412;0.036;
0.255;0.424;0.012;
0.258;0.444;0.012;
0.253;0.416;0.028;
0.254;0.452;0.012;
0.252;0.424;0.02;
0.256;0.424;0.024;
0.254;0.424;0.024;
0.253;0.416;0.028;
0.255;0.428;0.016;
0.252;0.42;0.024;
0.253;0.436;0.008;
0.254;0.424;0.02;
0.251;0.424;0.016;
0.252;0.416;0.016;
0.257;0.44;0.008;
0.254;0.428;0.016;
0.252;0.424;0.016;
0.278;0.5;0.032;
0.255;0.4;0.036;
0.253;0.416;0.028;
0.255;0.428;0.016;
0.253;0.412;0.032;
0.254;0.428;0.016;
0.252;0.424;0.02;
0.253;0.424;0.02;
0.253;0.42;0.024;
0.254;0.428;0.02;
0.253;0.424;0.02;
0.254;0.42;0.02;
0.253;0.432;0.012;
0.254;0.428;0.016;
0.251;0.416;0.024;
0.254;0.392;0.052;
0.252;0.412;0.028;
0.26;0.432;0.02;
0.255;0.416;0.028;
0.253;0.432;0.02;
0.254;0.432;0.016;
0.255;0.444;0.02;
0.254;0.42;0.024;
0.253;0.408;0.036;
0.255;0.432;0.028;
0.262;0.424;0.028;
0.256;0.428;0.016;
0.251;0.412;0.032;
0.255;0.432;0.012;
0.254;0.42;0.024;
0.253;0.428;0.016;
0.255;0.42;0.028;
0.252;0.416;0.024;
0.253;0.432;0.012;
0.254;0.456;0.012;
0.2545;0.4252;0.02272;MEAN
