real,user,sys
0.155,0.180,0.016
0.158,0.192,0.008
0.158,0.188,0.012
0.156,0.188,0.008
0.159,0.200,0.000
0.160,0.180,0.020
0.157,0.184,0.012
0.156,0.188,0.008
0.156,0.180,0.016
0.159,0.192,0.008
0.160,0.188,0.012
0.156,0.172,0.024
0.156,0.180,0.016
0.161,0.200,0.000
0.156,0.184,0.012
0.157,0.172,0.024
0.157,0.192,0.004
0.159,0.184,0.016
0.156,0.188,0.008
0.159,0.200,0.004
0.156,0.176,0.020
0.161,0.192,0.008
0.156,0.180,0.016
0.158,0.188,0.012
0.156,0.184,0.012
0.157,0.184,0.012
0.157,0.180,0.016
0.157,0.184,0.016
0.161,0.180,0.020
0.163,0.200,0.004
0.155,0.192,0.016
0.157,0.188,0.012
0.156,0.176,0.020
0.158,0.192,0.008
0.154,0.180,0.016
0.156,0.180,0.016
0.157,0.192,0.008
0.157,0.192,0.004
0.156,0.180,0.016
0.156,0.188,0.008
0.161,0.184,0.016
0.161,0.188,0.012
0.156,0.176,0.020
0.159,0.184,0.016
0.158,0.180,0.020
0.159,0.188,0.012
0.159,0.184,0.016
0.156,0.176,0.020
0.157,0.164,0.032
0.157,0.180,0.016
0.157,0.188,0.012
0.158,0.180,0.020
0.159,0.184,0.016
0.156,0.176,0.020
0.164,0.192,0.012
0.160,0.188,0.012
0.156,0.176,0.020
0.159,0.176,0.024
0.156,0.184,0.012
0.157,0.180,0.016
0.156,0.184,0.012
0.157,0.172,0.024
0.162,0.200,0.008
0.158,0.180,0.020
0.158,0.168,0.032
0.158,0.192,0.008
0.156,0.176,0.020
0.157,0.188,0.008
0.156,0.196,0.000
0.156,0.168,0.028
0.157,0.188,0.008
0.157,0.184,0.012
0.156,0.180,0.016
0.156,0.188,0.008
0.163,0.192,0.012
0.156,0.188,0.008
0.161,0.188,0.016
0.157,0.176,0.020
0.157,0.196,0.000
0.157,0.192,0.008
0.157,0.184,0.012
0.160,0.188,0.012
0.157,0.172,0.024
0.157,0.172,0.024
0.161,0.196,0.012
0.161,0.196,0.004
0.155,0.188,0.008
0.156,0.180,0.016
0.158,0.184,0.016
0.158,0.188,0.012
0.158,0.180,0.020
0.157,0.180,0.020
0.161,0.192,0.008
0.156,0.180,0.016
0.157,0.180,0.016
0.157,0.168,0.032
0.156,0.184,0.012
0.158,0.184,0.016
0.156,0.192,0.004
0.158,0.184,0.016
