real,user,sys
0.434,0.724,0.036
0.430,0.740,0.024
0.426,0.700,0.032
0.426,0.696,0.044
0.427,0.716,0.016
0.432,0.712,0.032
0.430,0.712,0.028
0.435,0.744,0.032
0.425,0.704,0.024
0.430,0.712,0.036
0.434,0.756,0.020
0.429,0.740,0.016
0.432,0.712,0.024
0.428,0.708,0.024
0.428,0.724,0.020
0.430,0.688,0.048
0.431,0.760,0.024
0.434,0.760,0.012
0.431,0.700,0.040
0.431,0.720,0.036
0.432,0.680,0.056
0.431,0.724,0.020
0.428,0.700,0.032
0.437,0.748,0.028
0.430,0.720,0.024
0.428,0.716,0.024
0.436,0.780,0.028
0.428,0.704,0.028
0.433,0.716,0.028
0.432,0.716,0.044
0.427,0.716,0.020
0.430,0.740,0.028
0.431,0.708,0.028
0.429,0.704,0.040
0.425,0.700,0.032
0.432,0.716,0.024
0.425,0.688,0.044
0.428,0.712,0.020
0.443,0.728,0.032
0.426,0.708,0.024
0.425,0.712,0.020
0.427,0.700,0.032
0.425,0.704,0.032
0.427,0.704,0.028
0.444,0.724,0.044
0.430,0.716,0.028
0.429,0.720,0.016
0.425,0.712,0.016
0.428,0.712,0.028
0.440,0.756,0.032
0.428,0.712,0.024
0.429,0.696,0.044
0.434,0.736,0.016
0.432,0.720,0.040
0.426,0.716,0.028
0.431,0.720,0.020
0.431,0.712,0.024
0.436,0.756,0.028
0.432,0.708,0.028
0.431,0.732,0.020
0.428,0.684,0.048
0.432,0.720,0.020
0.427,0.712,0.020
0.432,0.728,0.024
0.438,0.756,0.024
0.429,0.708,0.028
0.434,0.740,0.036
0.439,0.728,0.016
0.427,0.700,0.036
0.429,0.696,0.048
0.431,0.728,0.020
0.431,0.772,0.012
0.429,0.712,0.024
0.434,0.728,0.024
0.425,0.704,0.024
0.426,0.704,0.036
0.426,0.732,0.012
0.433,0.740,0.036
0.431,0.748,0.020
0.430,0.732,0.016
0.435,0.732,0.036
0.424,0.704,0.020
0.427,0.712,0.020
0.426,0.704,0.024
0.433,0.724,0.020
0.427,0.724,0.016
0.427,0.696,0.032
0.427,0.700,0.036
0.423,0.692,0.036
0.433,0.728,0.016
0.429,0.732,0.016
0.429,0.716,0.020
0.433,0.752,0.016
0.428,0.712,0.020
0.427,0.712,0.032
0.430,0.724,0.024
0.432,0.712,0.036
0.426,0.700,0.028
0.433,0.748,0.024
0.444,0.740,0.044
