real;user;sys;
4.983;4.968;0;
5.036;5.02;0.004;
5.349;4.948;0.292;
5.323;5.02;0.24;
4.987;4.968;0.004;
4.958;4.944;0;
4.969;4.948;0.008;
4.953;4.936;0.004;
4.964;4.952;0;
4.97;4.952;0.004;
4.976;4.952;0.012;
4.918;4.904;0;
4.963;4.944;0.004;
4.949;4.932;0.004;
4.953;4.936;0.004;
4.985;4.972;0;
5.003;4.984;0.008;
4.984;4.964;0.008;
4.964;4.952;0;
4.93;4.908;0.008;
4.965;4.94;0.012;
5.091;5.072;0.004;
4.959;4.932;0.012;
4.941;4.92;0.008;
4.951;4.936;0;
4.965;4.948;0.004;
5.38;4.996;0.308;
5.255;4.956;0.248;
4.95;4.932;0.004;
4.967;4.944;0.008;
4.971;4.956;0;
4.947;4.928;0.004;
4.95;4.936;0;
4.964;4.944;0.008;
4.975;4.96;0.004;
4.96;4.944;0.004;
4.969;4.94;0.016;
4.955;4.944;0;
4.958;4.944;0;
4.969;4.952;0.004;
4.953;4.936;0.004;
4.926;4.912;0;
4.962;4.944;0.004;
4.955;4.936;0.004;
5.021;5.004;0.004;
4.992;4.976;0.004;
5.051;5.032;0.004;
5;4.984;0.004;
4.945;4.932;0;
4.978;4.964;0;
5.428;4.98;0.34;
5.303;5.06;0.18;
4.968;4.948;0.008;
4.964;4.948;0.004;
4.982;4.964;0.004;
5.013;5;0;
5.005;4.984;0.008;
4.978;4.96;0.004;
4.954;4.936;0.004;
4.981;4.96;0.008;
4.972;4.956;0.004;
4.954;4.936;0.004;
4.944;4.928;0.004;
4.979;4.964;0;
5.013;4.992;0.008;
4.98;4.956;0.012;
4.965;4.952;0;
5.165;5.148;0.004;
4.952;4.94;0;
4.96;4.94;0.008;
4.973;4.956;0.004;
4.966;4.952;0;
4.971;4.952;0.004;
4.965;4.948;0.004;
5.436;4.968;0.372;
5.197;4.944;0.192;
4.925;4.912;0;
4.98;4.964;0.004;
4.955;4.944;0;
4.969;4.956;0;
5.065;5.044;0.008;
4.943;4.916;0.012;
4.987;4.968;0.004;
4.989;4.976;0;
5.005;4.988;0.004;
4.938;4.92;0.004;
4.939;4.92;0.004;
4.933;4.912;0.008;
4.944;4.928;0.004;
4.96;4.948;0;
4.967;4.944;0.008;
5.019;4.996;0.008;
4.99;4.972;0.004;
4.973;4.96;0;
4.974;4.956;0.004;
4.982;4.964;0.004;
4.959;4.944;0.004;
5.063;5.036;0.012;
5.537;4.992;0.436;
5.164;4.976;0.14;
5.0107;4.95956;0.03132;MEAN
